alpha,rho,N,closure,threshold,Z_f,g,beta,panel,n_points,slope_Z_vs_lnN,intercept,r2,predicted_slope_beta_over_g,slope_ratio
0.8,0.3,,,1e-05,,,,threshold_sensitivity,4.0,2.7122666768712507,4.8700000000000045,0.9967287084038352,2.6692423837674832,1.0161185411131683
0.8,0.3,,,3e-05,,,,threshold_sensitivity,4.0,2.7699744785068083,8.280000000000012,0.9974025974025972,2.6692423837674832,1.0377380845411075
0.8,0.3,,,0.0001,,,,threshold_sensitivity,4.0,2.957524833822374,11.150000000000006,0.9936162666981913,2.6692423837674832,1.108001600681912
0.8,0.3,,,0.0003,,,,threshold_sensitivity,4.0,3.116221288320162,13.79,0.9931034482758622,2.6692423837674832,1.167455345108747
0.8,0.3,,,0.001,,,,threshold_sensitivity,4.0,3.40476029649795,15.94000000000002,0.9910320284697508,2.6692423837674832,1.2755530622484443
1.2,0.15,,,1e-05,,,,threshold_sensitivity,4.0,7.646283716711505,2.45000000000001,0.9993596129215884,8.17930570465551,0.9348328565784478
1.2,0.15,,,3e-05,,,,threshold_sensitivity,4.0,7.963676625707078,6.88000000000001,0.9988985051140832,8.17930570465551,0.9736372393043458
1.2,0.15,,,0.0001,,,,threshold_sensitivity,4.0,8.208934782658206,12.45999999999998,0.9981071290944123,8.17930570465551,1.0036224441379946
1.2,0.15,,,0.0003,,,,threshold_sensitivity,4.0,8.439765989200433,17.600000000000023,0.9974642591702004,8.17930570465551,1.0318438133931922
1.2,0.15,,,0.001,,,,threshold_sensitivity,4.0,8.569608542880443,24.06000000000001,0.9962053193291548,8.17930570465551,1.0477183335992415
